generation,num_kernel_conv1,num_kernel_conv2,kernel_size_conv1,kernel_size_conv2,kernel_size_pooling
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
9,32,32,"[16, 16, 16, 16, 16, 16, 16]","[16, 16, 16, 16, 16, 16, 16]",16
